2019,Anesthesiology 4
,Child Neurology 1
,Dermatology 2
,Diagnostic Radiology 5
,Emergency Medicine 12
,Family Medicine 13
,Internal Medicine 15
,Medicine/Emergency Med 1
,Neurology 3
,Neurosurgery 1
,Obstetrics & Gynecology 6
,Ophthalmology 1
,Orthopaedic Surgery 4
,Otolaryngology 1
,Pathology 5
,Pediatrics 11
,Peds/Psych/Child Psych 1
,Physical Med & Rehabilitation 1
,Plastic Surgery 1
,Psychiatry 6
,Radiation Oncology 1
,Thoracic Surgery 1
,Urology 2
,Preliminary Medicine 9
,Preliminary Surgery 3
,Transitional Year 2
,Military 2
2018,Anesthesiology 9
,Dermatology 1
,Diagnostic Radiology 4
,Emergency Medicine 7
,EM/Anesthesiology 1
,Family Medicine 17
,General Surgery 11
,Internal Medicine 21
,Neurology 1
,Neurosurgery 2
,Obstetrics & Gynecology 4
,Ophthalmology 1
,Orthopaedic Surgery 2
,Pathology 3
,Pediatrics 14
,Peds/Psych/Child Psych 1
,Psychiatry 5
,Urology 3
,Preliminary Medicine 6
,Preliminary Surgery 5
,Transitional Year 3
,Military 1
2017,Anesthesiology 9
,Child Neurology 1
,Dermatology 3
,Diagnostic Radiology 3
,Emergency Medicine 9
,Family Medicine 11
,General Surgery 9
,Gen Surgery/Research 1
,Internal Medicine 14
,Medicine/Emergency Medicine 1
,Neurology 1
,Obstetrics & Gynecology 10
,Ophthalmology 2
,Orthopaedic Surgery 5
,Otolaryngology 1
,Pathology 4
,Pediatrics 11
,Peds/Psych/Child Psych 1
,Physical Med & Rehabilitation 2
,Plastic Surgery 2
,Psychiatry 2
,Radiation Oncology 1
,Urology 2
,Preliminary Medicine 11
,Preliminary Pediatrics 1
,Preliminary Surgery 7
,Transitional Year 1
2016,Anesthesiology 7
,Combined Adult/Child Psychiatry 1
,Dermatology 3
,Diagnostic Radiology 3
,Emergency Medicine 13
,Family Medicine 8
,General Surgery 2
,Internal Medicine 16
,Neurological Surgery 1
,Neurology 2
,Obstetrics & Gynecology 10
,Ophthalmology 1
,Orthopaedic Surgery 2
,Otolaryngology 2
,Pathology 1
,Pediatrics 14
,Peds/Adult/Child Psychiatry 1
,Plastic Surgery 1
,Primary Medicine 4
,Psychiatry 7
,Radiation Oncology 2
,Urology 1
,Preliminary Medicine 7
,Preliminary Surgery 3
,Transitional Year 7
2015,Anesthesiology 5
,Dermatology 3
,Diagnostic Radiology 1
,Emergency Medicine 13
,Family Medicine 17
,General Surgery 13
,Internal Medicine 15
,Med/EM 1
,Med/Peds 1
,Primary Med/Social Int Med 1
,Neurodevel Disabilities 1
,Neurological Surgery 1
,Neurology 3
,Obstetrics & Gynecology 5
,Orthopaedic Surgery 5
,Otolaryngology 1
,Pathology 4
,Pediatrics 12
,Primary Peds/Comm Health 1
,Physical Med & Rehab 2
,Psychiatry 3
,Urology 1
,Preliminary Medicine 6
,Prelim Peds/Child Neuro 1
,Preliminary Surgery 1
,Transitional Year 4
2014,Anesthesiology 8
,Child Neurology 1
,Dermatology 1
,Diagnostic Radiology 2
,Emergency Medicine 14
,Family Medicine 6
,General Surgery 9
,Internal Medicine 20
,Neurological Surgery 1
,Neurology 3
,Obstetrics & Gynecology 4
,Ophthalmology 1
,Orthopaedic Surgery 2
,Otolaryngology 1
,Pathology 4
,Pediatrics 16
,Peds/Psych/Child Psych 1
,Psychiatry 6
,Psychiatry/Child & Adlsnt 1
,Radiation Oncology 2
,Urology 1
,Vascular Surgery 2
2012,Anesthesiology 9
,Child Neurology 2
,Dermatology 2
,Diagnostic Radiology 5
,Emergency Medicine 11
,Family Medicine 14
,General Surgery 7
,Internal Medicine 17
,Medicine-Pediatrics 1
,Neurological Surgery 2
,Obstetrics & Gynecology 8
,Ophthalmology 3
,Orthopaedic Surgery 2
,Pathology 3
,Pediatrics 17
,Physical Med & Rehab 2
,Plastic Surgery 1
,Psychiatry 1
,Urology 3
,Medicine-Preliminary 8
,Surgery-Preliminary 5
,Transitional Year 5
2011,Anesthesiology 7
,Diagnostic Radiology 4
,Emergency Medicine 18
,Family Medicine 5
,General Surgery 11
,Internal Medicine 14
,Medicine-Pediatrics 1
,Neurological Surgery 2
,Obstetrics & Gynecology 5
,Ophthalmology 2
,Orthopaedic Surgery 4
,Otolaryngology 3
,Pathology 6
,Pediatrics 14
,Plastic Surgery 1
,Psychiatry 8
,Urology 1
,Medicine-Preliminary 3
,Surgery -Preliminary 5
,Transitional Year 4
